Month,#Fixed tickets,Number of commits,Number of versions
11/2011,0,29,0
12/2011,0,34,0
1/2012,0,41,0
2/2012,0,88,0
3/2012,0,147,0
4/2012,0,119,0
5/2012,0,106,0
6/2012,0,99,0
7/2012,0,39,0
8/2012,0,15,0
9/2012,0,18,0
10/2012,0,22,0
11/2012,0,8,0
12/2012,0,6,0
1/2013,0,8,0
2/2013,0,10,0
3/2013,0,12,0
4/2013,0,37,0
5/2013,4,5,0
6/2013,2,2,0
7/2013,13,24,0
8/2013,13,22,1
9/2013,13,31,0
10/2013,13,22,0
11/2013,39,41,0
12/2013,10,12,0
1/2014,22,27,0
2/2014,7,8,1
3/2014,35,36,0
4/2014,11,11,0
5/2014,29,51,0
6/2014,6,13,0
7/2014,11,13,0
8/2014,50,66,0
9/2014,65,69,1
10/2014,56,60,0
11/2014,65,73,0
12/2014,39,43,1
1/2015,20,19,0
2/2015,25,24,0
3/2015,41,43,0
4/2015,36,46,0
5/2015,22,36,0
6/2015,53,59,1
7/2015,25,30,0
8/2015,35,72,0
9/2015,57,66,1
10/2015,39,58,0
11/2015,28,36,1
12/2015,37,42,0
1/2016,54,104,0
2/2016,29,32,1
3/2016,23,29,0
4/2016,36,36,0
5/2016,42,45,0
6/2016,33,57,0
7/2016,38,69,0
8/2016,28,34,0
9/2016,6,6,0
10/2016,7,7,0
11/2016,12,13,0
12/2016,19,19,0
1/2017,20,18,0
2/2017,18,29,0
3/2017,7,11,0
4/2017,2,3,0
6/2017,1,1,0
8/2017,1,2,0
9/2017,1,2,0
10/2017,1,10,0
11/2017,0,1,0
1/2018,1,5,0
2/2018,5,8,0
3/2018,7,9,0
4/2018,2,2,0
8/2018,6,6,0
